From	To	Species	Gene Name
TMBIM6	7009	Homo sapiens	transmembrane BAX inhibitor motif containing 6(TMBIM6)
ITGA9	3680	Homo sapiens	integrin subunit alpha 9(ITGA9)
ROCK1	6093	Homo sapiens	Rho associated coiled-coil containing protein kinase 1(ROCK1)
ROCK2	9475	Homo sapiens	Rho associated coiled-coil containing protein kinase 2(ROCK2)
MGRN1	23295	Homo sapiens	mahogunin ring finger 1(MGRN1)
WAC-AS1	220906	Homo sapiens	WAC antisense RNA 1 (head to head)(WAC-AS1)
SLC5A11	115584	Homo sapiens	solute carrier family 5 member 11(SLC5A11)
GTPBP10	85865	Homo sapiens	GTP binding protein 10(GTPBP10)
RCHY1	25898	Homo sapiens	ring finger and CHY zinc finger domain containing 1(RCHY1)
EHBP1	23301	Homo sapiens	EH domain binding protein 1(EHBP1)
CDC42	998	Homo sapiens	cell division cycle 42(CDC42)
ZNRF1	84937	Homo sapiens	zinc and ring finger 1(ZNRF1)
ZNRF2	223082	Homo sapiens	zinc and ring finger 2(ZNRF2)
ZNRF3	84133	Homo sapiens	zinc and ring finger 3(ZNRF3)
CCDC85B	11007	Homo sapiens	coiled-coil domain containing 85B(CCDC85B)
CCDC85A	114800	Homo sapiens	coiled-coil domain containing 85A(CCDC85A)
FYN	2534	Homo sapiens	FYN proto-oncogene, Src family tyrosine kinase(FYN)
EIF4E	1977	Homo sapiens	eukaryotic translation initiation factor 4E(EIF4E)
EIF4B	1975	Homo sapiens	eukaryotic translation initiation factor 4B(EIF4B)
POLR2J3	548644	Homo sapiens	RNA polymerase II subunit J3(POLR2J3)
NTRK2	4915	Homo sapiens	neurotrophic receptor tyrosine kinase 2(NTRK2)
CIZ1	25792	Homo sapiens	CDKN1A interacting zinc finger protein 1(CIZ1)
MARCKSL1	65108	Homo sapiens	MARCKS like 1(MARCKSL1)
HNRNPA3	220988	Homo sapiens	heterogeneous nuclear ribonucleoprotein A3(HNRNPA3)
PCDH9	5101	Homo sapiens	protocadherin 9(PCDH9)
FEM1B	10116	Homo sapiens	fem-1 homolog B(FEM1B)
NTRK3	4916	Homo sapiens	neurotrophic receptor tyrosine kinase 3(NTRK3)
PCDH7	5099	Homo sapiens	protocadherin 7(PCDH7)
KIAA1549L	25758	Homo sapiens	KIAA1549 like(KIAA1549L)
SYT16	83851	Homo sapiens	synaptotagmin 16(SYT16)
SYT14	255928	Homo sapiens	synaptotagmin 14(SYT14)
SYT13	57586	Homo sapiens	synaptotagmin 13(SYT13)
EXOG	9941	Homo sapiens	exo/endonuclease G(EXOG)
TTC39C	125488	Homo sapiens	tetratricopeptide repeat domain 39C(TTC39C)
MYO19	80179	Homo sapiens	myosin XIX(MYO19)
MYO16	23026	Homo sapiens	myosin XVI(MYO16)
TTC39B	158219	Homo sapiens	tetratricopeptide repeat domain 39B(TTC39B)
SYT17	51760	Homo sapiens	synaptotagmin 17(SYT17)
MYO1D	4642	Homo sapiens	myosin ID(MYO1D)
MFSD14A	64645	Homo sapiens	major facilitator superfamily domain containing 14A(MFSD14A)
MYO1E	4643	Homo sapiens	myosin IE(MYO1E)
MCM3AP	8888	Homo sapiens	minichromosome maintenance complex component 3 associated protein(MCM3AP)
SUCLA2	8803	Homo sapiens	succinate-CoA ligase ADP-forming subunit beta(SUCLA2)
TSPAN13	27075	Homo sapiens	tetraspanin 13(TSPAN13)
SYT12	91683	Homo sapiens	synaptotagmin 12(SYT12)
EIF3K	27335	Homo sapiens	eukaryotic translation initiation factor 3 subunit K(EIF3K)
SYT11	23208	Homo sapiens	synaptotagmin 11(SYT11)
EIF3H	8667	Homo sapiens	eukaryotic translation initiation factor 3 subunit H(EIF3H)
EIF3E	3646	Homo sapiens	eukaryotic translation initiation factor 3 subunit E(EIF3E)
ATXN10	25814	Homo sapiens	ataxin 10(ATXN10)
RECK	8434	Homo sapiens	reversion inducing cysteine rich protein with kazal motifs(RECK)
EIF3A	8661	Homo sapiens	eukaryotic translation initiation factor 3 subunit A(EIF3A)
SMARCAL1	50485	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1(SMARCAL1)
CPNE8	144402	Homo sapiens	copine 8(CPNE8)
SMARCB1	6598	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1(SMARCB1)
CPNE5	57699	Homo sapiens	copine 5(CPNE5)
CPNE4	131034	Homo sapiens	copine 4(CPNE4)
HHIP	64399	Homo sapiens	hedgehog interacting protein(HHIP)
LDLRAD3	143458	Homo sapiens	low density lipoprotein receptor class A domain containing 3(LDLRAD3)
LDLRAD4	753	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
NUDT5	11164	Homo sapiens	nudix hydrolase 5(NUDT5)
ACTB	60	Homo sapiens	actin beta(ACTB)
NUDT3	11165	Homo sapiens	nudix hydrolase 3(NUDT3)
NUDT4	11163	Homo sapiens	nudix hydrolase 4(NUDT4)
HERC4	26091	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 4(HERC4)
HERC3	8916	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 3(HERC3)
HERC2	8924	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)
CCDC91	55297	Homo sapiens	coiled-coil domain containing 91(CCDC91)
HERC1	8925	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(HERC1)
OPHN1	4983	Homo sapiens	oligophrenin 1(OPHN1)
MAP4K3-DT	728730	Homo sapiens	MAP4K3 divergent transcript(MAP4K3-DT)
CDC27	996	Homo sapiens	cell division cycle 27(CDC27)
CPNE1	8904	Homo sapiens	copine 1(CPNE1)
PIEZO2	63895	Homo sapiens	piezo type mechanosensitive ion channel component 2(PIEZO2)
EPC1	80314	Homo sapiens	enhancer of polycomb homolog 1(EPC1)
CPNE3	8895	Homo sapiens	copine 3(CPNE3)
EPC2	26122	Homo sapiens	enhancer of polycomb homolog 2(EPC2)
ATP6V1E1	529	Homo sapiens	ATPase H+ transporting V1 subunit E1(ATP6V1E1)
CCDC92	80212	Homo sapiens	coiled-coil domain containing 92(CCDC92)
SCAPER	49855	Homo sapiens	S-phase cyclin A associated protein in the ER(SCAPER)
TBC1D22A	25771	Homo sapiens	TBC1 domain family member 22A(TBC1D22A)
CCDC93	54520	Homo sapiens	coiled-coil domain containing 93(CCDC93)
ATP6V1G1	9550	Homo sapiens	ATPase H+ transporting V1 subunit G1(ATP6V1G1)
SMARCC1	6599	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1(SMARCC1)
ATP6V1G2	534	Homo sapiens	ATPase H+ transporting V1 subunit G2(ATP6V1G2)
SMARCC2	6601	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2(SMARCC2)
ACTN1	87	Homo sapiens	actinin alpha 1(ACTN1)
CIRBP	1153	Homo sapiens	cold inducible RNA binding protein(CIRBP)
OMG	4974	Homo sapiens	oligodendrocyte myelin glycoprotein(OMG)
TRAF3IP2-AS1	643749	Homo sapiens	TRAF3IP2 antisense RNA 1(TRAF3IP2-AS1)
CSNK1D	1453	Homo sapiens	casein kinase 1 delta(CSNK1D)
ACTN4	81	Homo sapiens	actinin alpha 4(ACTN4)
CSNK1E	1454	Homo sapiens	casein kinase 1 epsilon(CSNK1E)
MFSD11	79157	Homo sapiens	major facilitator superfamily domain containing 11(MFSD11)
CDC40	51362	Homo sapiens	cell division cycle 40(CDC40)
ADGRB2	576	Homo sapiens	adhesion G protein-coupled receptor B2(ADGRB2)
PPA2	27068	Homo sapiens	inorganic pyrophosphatase 2(PPA2)
ADGRB3	577	Homo sapiens	adhesion G protein-coupled receptor B3(ADGRB3)
PPA1	5464	Homo sapiens	inorganic pyrophosphatase 1(PPA1)
ADGRB1	575	Homo sapiens	adhesion G protein-coupled receptor B1(ADGRB1)
EIF1B	10289	Homo sapiens	eukaryotic translation initiation factor 1B(EIF1B)
CCDC82	79780	Homo sapiens	coiled-coil domain containing 82(CCDC82)
KCTD16	57528	Homo sapiens	potassium channel tetramerization domain containing 16(KCTD16)
SLC45A4	57210	Homo sapiens	solute carrier family 45 member 4(SLC45A4)
NRN1	51299	Homo sapiens	neuritin 1(NRN1)
GGNBP2	79893	Homo sapiens	gametogenetin binding protein 2(GGNBP2)
TBC1D9B	23061	Homo sapiens	TBC1 domain family member 9B(TBC1D9B)
EPB41	2035	Homo sapiens	erythrocyte membrane protein band 4.1(EPB41)
LPAR1	1902	Homo sapiens	lysophosphatidic acid receptor 1(LPAR1)
CEND1	51286	Homo sapiens	cell cycle exit and neuronal differentiation 1(CEND1)
GMDS-DT	100508120	Homo sapiens	GMDS divergent transcript(GMDS-DT)
KALRN	8997	Homo sapiens	kalirin RhoGEF kinase(KALRN)
GSPT1	2935	Homo sapiens	G1 to S phase transition 1(GSPT1)
MBTD1	54799	Homo sapiens	mbt domain containing 1(MBTD1)
SEC14L1	6397	Homo sapiens	SEC14 like lipid binding 1(SEC14L1)
XRRA1	143570	Homo sapiens	X-ray radiation resistance associated 1(XRRA1)
SEC14L5	9717	Homo sapiens	SEC14 like lipid binding 5(SEC14L5)
CEP192	55125	Homo sapiens	centrosomal protein 192(CEP192)
ATP6V1C1	528	Homo sapiens	ATPase H+ transporting V1 subunit C1(ATP6V1C1)
STAT5B	6777	Homo sapiens	signal transducer and activator of transcription 5B(STAT5B)
FAM78B	149297	Homo sapiens	family with sequence similarity 78 member B(FAM78B)
GREB1	9687	Homo sapiens	growth regulating estrogen receptor binding 1(GREB1)
RANBP17	64901	Homo sapiens	RAN binding protein 17(RANBP17)
SMARCA5	8467	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5(SMARCA5)
MYO5A	4644	Homo sapiens	myosin VA(MYO5A)
BSDC1	55108	Homo sapiens	BSD domain containing 1(BSDC1)
RAB27B	5874	Homo sapiens	RAB27B, member RAS oncogene family(RAB27B)
SMARCA2	6595	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2(SMARCA2)
SMARCA4	6597	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4(SMARCA4)
EXT1	2131	Homo sapiens	exostosin glycosyltransferase 1(EXT1)
EXT2	2132	Homo sapiens	exostosin glycosyltransferase 2(EXT2)
CALY	50632	Homo sapiens	calcyon neuron specific vesicular protein(CALY)
CDC16	8881	Homo sapiens	cell division cycle 16(CDC16)
RANBP10	57610	Homo sapiens	RAN binding protein 10(RANBP10)
CALU	813	Homo sapiens	calumenin(CALU)
ECHDC1	55862	Homo sapiens	ethylmalonyl-CoA decarboxylase 1(ECHDC1)
ECHDC2	55268	Homo sapiens	enoyl-CoA hydratase domain containing 2(ECHDC2)
KYAT1	883	Homo sapiens	kynurenine aminotransferase 1(KYAT1)
NOL10	79954	Homo sapiens	nucleolar protein 10(NOL10)
IGSF9B	22997	Homo sapiens	immunoglobulin superfamily member 9B(IGSF9B)
SUGP2	10147	Homo sapiens	SURP and G-patch domain containing 2(SUGP2)
CD200	4345	Homo sapiens	CD200 molecule(CD200)
SUGP1	57794	Homo sapiens	SURP and G-patch domain containing 1(SUGP1)
NRP1	8829	Homo sapiens	neuropilin 1(NRP1)
LINC02245	400958	Homo sapiens	long intergenic non-protein coding RNA 2245(LINC02245)
CSRNP2	81566	Homo sapiens	cysteine and serine rich nuclear protein 2(CSRNP2)
CSRNP3	80034	Homo sapiens	cysteine and serine rich nuclear protein 3(CSRNP3)
FBH1	84893	Homo sapiens	F-box DNA helicase 1(FBH1)
ICA1	3382	Homo sapiens	islet cell autoantigen 1(ICA1)
OTUD7A	161725	Homo sapiens	OTU deubiquitinase 7A(OTUD7A)
OTUD7B	56957	Homo sapiens	OTU deubiquitinase 7B(OTUD7B)
RAB22A	57403	Homo sapiens	RAB22A, member RAS oncogene family(RAB22A)
SH3RF1	57630	Homo sapiens	SH3 domain containing ring finger 1(SH3RF1)
AKAP12	9590	Homo sapiens	A-kinase anchoring protein 12(AKAP12)
AKAP13	11214	Homo sapiens	A-kinase anchoring protein 13(AKAP13)
AKAP10	11216	Homo sapiens	A-kinase anchoring protein 10(AKAP10)
NUDCD3	23386	Homo sapiens	NudC domain containing 3(NUDCD3)
MAP1LC3B	81631	Homo sapiens	microtubule associated protein 1 light chain 3 beta(MAP1LC3B)
MAP1LC3A	84557	Homo sapiens	microtubule associated protein 1 light chain 3 alpha(MAP1LC3A)
AKAP11	11215	Homo sapiens	A-kinase anchoring protein 11(AKAP11)
ODR4	54953	Homo sapiens	odr-4 GPCR localization factor homolog(ODR4)
EPG5	57724	Homo sapiens	ectopic P-granules 5 autophagy tethering factor(EPG5)
SPTAN1	6709	Homo sapiens	spectrin alpha, non-erythrocytic 1(SPTAN1)
ZNF587B	100293516	Homo sapiens	zinc finger protein 587B(ZNF587B)
PBRM1	55193	Homo sapiens	polybromo 1(PBRM1)
NBPF12	149013	Homo sapiens	NBPF member 12(NBPF12)
SYN3	8224	Homo sapiens	synapsin III(SYN3)
KIF6	221458	Homo sapiens	kinesin family member 6(KIF6)
SYN2	6854	Homo sapiens	synapsin II(SYN2)
SREBF2	6721	Homo sapiens	sterol regulatory element binding transcription factor 2(SREBF2)
SYN1	6853	Homo sapiens	synapsin I(SYN1)
GAK	2580	Homo sapiens	cyclin G associated kinase(GAK)
CANX	821	Homo sapiens	calnexin(CANX)
PABPC1	26986	Homo sapiens	poly(A) binding protein cytoplasmic 1(PABPC1)
DEPDC5	9681	Homo sapiens	DEP domain containing 5, GATOR1 subcomplex subunit(DEPDC5)
DDR2	4921	Homo sapiens	discoidin domain receptor tyrosine kinase 2(DDR2)
NAPA	8775	Homo sapiens	NSF attachment protein alpha(NAPA)
NAPB	63908	Homo sapiens	NSF attachment protein beta(NAPB)
CAB39	51719	Homo sapiens	calcium binding protein 39(CAB39)
GNAI3	2773	Homo sapiens	G protein subunit alpha i3(GNAI3)
HSD17B4	3295	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 4(HSD17B4)
NAPG	8774	Homo sapiens	NSF attachment protein gamma(NAPG)
GNAI1	2770	Homo sapiens	G protein subunit alpha i1(GNAI1)
GNAI2	2771	Homo sapiens	G protein subunit alpha i2(GNAI2)
MGAT5	4249	Homo sapiens	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase(MGAT5)
MGAT3	4248	Homo sapiens	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase(MGAT3)
EPS15	2060	Homo sapiens	epidermal growth factor receptor pathway substrate 15(EPS15)
MFSD4B	91749	Homo sapiens	major facilitator superfamily domain containing 4B(MFSD4B)
CAP2	10486	Homo sapiens	cyclase associated actin cytoskeleton regulatory protein 2(CAP2)
GABBR2	9568	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 2(GABBR2)
GABBR1	2550	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
MON2	23041	Homo sapiens	MON2 homolog, regulator of endosome-to-Golgi trafficking(MON2)
PNPLA7	375775	Homo sapiens	patatin like phospholipase domain containing 7(PNPLA7)
C1orf21	81563	Homo sapiens	chromosome 1 open reading frame 21(C1orf21)
PNPLA8	50640	Homo sapiens	patatin like phospholipase domain containing 8(PNPLA8)
TTC1	7265	Homo sapiens	tetratricopeptide repeat domain 1(TTC1)
MYO9B	4650	Homo sapiens	myosin IXB(MYO9B)
PNMA3	29944	Homo sapiens	PNMA family member 3(PNMA3)
PNMA2	10687	Homo sapiens	PNMA family member 2(PNMA2)
MYO9A	4649	Homo sapiens	myosin IXA(MYO9A)
SH3RF3	344558	Homo sapiens	SH3 domain containing ring finger 3(SH3RF3)
TTC8	123016	Homo sapiens	tetratricopeptide repeat domain 8(TTC8)
ITCH	83737	Homo sapiens	itchy E3 ubiquitin protein ligase(ITCH)
NOL4L	140688	Homo sapiens	nucleolar protein 4 like(NOL4L)
HNRNPA2B1	3181	Homo sapiens	heterogeneous nuclear ribonucleoprotein A2/B1(HNRNPA2B1)
TTC3	7267	Homo sapiens	tetratricopeptide repeat domain 3(TTC3)
KIAA1958	158405	Homo sapiens	KIAA1958(KIAA1958)
C1orf52	148423	Homo sapiens	chromosome 1 open reading frame 52(C1orf52)
NARF	26502	Homo sapiens	nuclear prelamin A recognition factor(NARF)
CRTC3	64784	Homo sapiens	CREB regulated transcription coactivator 3(CRTC3)
UBE3C	9690	Homo sapiens	ubiquitin protein ligase E3C(UBE3C)
UBXN2B	137886	Homo sapiens	UBX domain protein 2B(UBXN2B)
ICE1	23379	Homo sapiens	interactor of little elongation complex ELL subunit 1(ICE1)
GDA	9615	Homo sapiens	guanine deaminase(GDA)
UBXN2A	165324	Homo sapiens	UBX domain protein 2A(UBXN2A)
ZFAND3	60685	Homo sapiens	zinc finger AN1-type containing 3(ZFAND3)
ICE2	79664	Homo sapiens	interactor of little elongation complex ELL subunit 2(ICE2)
CRTC1	23373	Homo sapiens	CREB regulated transcription coactivator 1(CRTC1)
UBE3D	90025	Homo sapiens	ubiquitin protein ligase E3D(UBE3D)
PCDH11X	27328	Homo sapiens	protocadherin 11 X-linked(PCDH11X)
ZFAND5	7763	Homo sapiens	zinc finger AN1-type containing 5(ZFAND5)
PEBP1	5037	Homo sapiens	phosphatidylethanolamine binding protein 1(PEBP1)
UBE3A	7337	Homo sapiens	ubiquitin protein ligase E3A(UBE3A)
TMEM260	54916	Homo sapiens	transmembrane protein 260(TMEM260)
NR3C1	2908	Homo sapiens	nuclear receptor subfamily 3 group C member 1(NR3C1)
SRP14	6727	Homo sapiens	signal recognition particle 14(SRP14)
UBE2Z	65264	Homo sapiens	ubiquitin conjugating enzyme E2 Z(UBE2Z)
ACTG1	71	Homo sapiens	actin gamma 1(ACTG1)
NR3C2	4306	Homo sapiens	nuclear receptor subfamily 3 group C member 2(NR3C2)
TMEM266	123591	Homo sapiens	transmembrane protein 266(TMEM266)
TMEM268	203197	Homo sapiens	transmembrane protein 268(TMEM268)
TBC1D32	221322	Homo sapiens	TBC1 domain family member 32(TBC1D32)
TBC1D30	23329	Homo sapiens	TBC1 domain family member 30(TBC1D30)
BORCS5	118426	Homo sapiens	BLOC-1 related complex subunit 5(BORCS5)
CAST	831	Homo sapiens	calpastatin(CAST)
MORC3	23515	Homo sapiens	MORC family CW-type zinc finger 3(MORC3)
SLX4IP	128710	Homo sapiens	SLX4 interacting protein(SLX4IP)
CASK	8573	Homo sapiens	calcium/calmodulin dependent serine protein kinase(CASK)
UBE4A	9354	Homo sapiens	ubiquitination factor E4A(UBE4A)
UBE4B	10277	Homo sapiens	ubiquitination factor E4B(UBE4B)
CDKAL1	54901	Homo sapiens	CDK5 regulatory subunit associated protein 1 like 1(CDKAL1)
TBC1D2B	23102	Homo sapiens	TBC1 domain family member 2B(TBC1D2B)
EEF1A1	1915	Homo sapiens	eukaryotic translation elongation factor 1 alpha 1(EEF1A1)
MIR124-2HG	100130155	Homo sapiens	MIR124-2 host gene(MIR124-2HG)
TMEM259	91304	Homo sapiens	transmembrane protein 259(TMEM259)
EEF1A2	1917	Homo sapiens	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)
MAP7D2	256714	Homo sapiens	MAP7 domain containing 2(MAP7D2)
TBC1D24	57465	Homo sapiens	TBC1 domain family member 24(TBC1D24)
WDFY1	57590	Homo sapiens	WD repeat and FYVE domain containing 1(WDFY1)
SIDT1	54847	Homo sapiens	SID1 transmembrane family member 1(SIDT1)
ANKS6	203286	Homo sapiens	ankyrin repeat and sterile alpha motif domain containing 6(ANKS6)
WDFY3	23001	Homo sapiens	WD repeat and FYVE domain containing 3(WDFY3)
WDFY2	115825	Homo sapiens	WD repeat and FYVE domain containing 2(WDFY2)
PPIG	9360	Homo sapiens	peptidylprolyl isomerase G(PPIG)
TSNARE1	203062	Homo sapiens	t-SNARE domain containing 1(TSNARE1)
TBC1D23	55773	Homo sapiens	TBC1 domain family member 23(TBC1D23)
PPIA	5478	Homo sapiens	peptidylprolyl isomerase A(PPIA)
CARS2	79587	Homo sapiens	cysteinyl-tRNA synthetase 2, mitochondrial(CARS2)
DDX6	1656	Homo sapiens	DEAD-box helicase 6(DDX6)
DDX5	1655	Homo sapiens	DEAD-box helicase 5(DDX5)
TBC1D19	55296	Homo sapiens	TBC1 domain family member 19(TBC1D19)
DDX1	1653	Homo sapiens	DEAD-box helicase 1(DDX1)
CACNA1B	774	Homo sapiens	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
ENTPD1-AS1	728558	Homo sapiens	ENTPD1 antisense RNA 1(ENTPD1-AS1)
CACNA1A	773	Homo sapiens	calcium voltage-gated channel subunit alpha1 A(CACNA1A)
CACNA1D	776	Homo sapiens	calcium voltage-gated channel subunit alpha1 D(CACNA1D)
CACNA1C	775	Homo sapiens	calcium voltage-gated channel subunit alpha1 C(CACNA1C)
CACNA1E	777	Homo sapiens	calcium voltage-gated channel subunit alpha1 E(CACNA1E)
TMEM241	85019	Homo sapiens	transmembrane protein 241(TMEM241)
ODF2L	57489	Homo sapiens	outer dense fiber of sperm tails 2 like(ODF2L)
TMEM245	23731	Homo sapiens	transmembrane protein 245(TMEM245)
SNTG1	54212	Homo sapiens	syntrophin gamma 1(SNTG1)
TMEM248	55069	Homo sapiens	transmembrane protein 248(TMEM248)
DHRS7B	25979	Homo sapiens	dehydrogenase/reductase 7B(DHRS7B)
TBC1D14	57533	Homo sapiens	TBC1 domain family member 14(TBC1D14)
TBC1D12	23232	Homo sapiens	TBC1 domain family member 12(TBC1D12)
SPRY4-AS1	101926941	Homo sapiens	SPRY4 antisense RNA 1(SPRY4-AS1)
QSER1	79832	Homo sapiens	glutamine and serine rich 1(QSER1)
TBC1D15	64786	Homo sapiens	TBC1 domain family member 15(TBC1D15)
DNAJC27-AS1	729723	Homo sapiens	DNAJC27 antisense RNA 1(DNAJC27-AS1)
EEFSEC	60678	Homo sapiens	eukaryotic elongation factor, selenocysteine-tRNA specific(EEFSEC)
SYT4	6860	Homo sapiens	synaptotagmin 4(SYT4)
UBE2H	7328	Homo sapiens	ubiquitin conjugating enzyme E2 H(UBE2H)
SYT1	6857	Homo sapiens	synaptotagmin 1(SYT1)
UBE2B	7320	Homo sapiens	ubiquitin conjugating enzyme E2 B(UBE2B)
CNOT10	25904	Homo sapiens	CCR4-NOT transcription complex subunit 10(CNOT10)
HOOK3	84376	Homo sapiens	hook microtubule tethering protein 3(HOOK3)
C8orf34	116328	Homo sapiens	chromosome 8 open reading frame 34(C8orf34)
SYT7	9066	Homo sapiens	synaptotagmin 7(SYT7)
TMEM230	29058	Homo sapiens	transmembrane protein 230(TMEM230)
GNAO1	2775	Homo sapiens	G protein subunit alpha o1(GNAO1)
TMEM232	642987	Homo sapiens	transmembrane protein 232(TMEM232)
UBE2W	55284	Homo sapiens	ubiquitin conjugating enzyme E2 W(UBE2W)
GNAL	2774	Homo sapiens	G protein subunit alpha L(GNAL)
NASP	4678	Homo sapiens	nuclear autoantigenic sperm protein(NASP)
HOOK2	29911	Homo sapiens	hook microtubule tethering protein 2(HOOK2)
CCPG1	9236	Homo sapiens	cell cycle progression 1(CCPG1)
HOOK1	51361	Homo sapiens	hook microtubule tethering protein 1(HOOK1)
GNAQ	2776	Homo sapiens	G protein subunit alpha q(GNAQ)
GNB1	2782	Homo sapiens	G protein subunit beta 1(GNB1)
GNB4	59345	Homo sapiens	G protein subunit beta 4(GNB4)
GNAS	2778	Homo sapiens	GNAS complex locus(GNAS)
UBE2N	7334	Homo sapiens	ubiquitin conjugating enzyme E2 N(UBE2N)
UBE2O	63893	Homo sapiens	ubiquitin conjugating enzyme E2 O(UBE2O)
TCF4	6925	Homo sapiens	transcription factor 4(TCF4)
GNB5	10681	Homo sapiens	G protein subunit beta 5(GNB5)
AMOTL1	154810	Homo sapiens	angiomotin like 1(AMOTL1)
MXD1	4084	Homo sapiens	MAX dimerization protein 1(MXD1)
UBE2K	3093	Homo sapiens	ubiquitin conjugating enzyme E2 K(UBE2K)
MUC20	200958	Homo sapiens	mucin 20, cell surface associated(MUC20)
GALK2	2585	Homo sapiens	galactokinase 2(GALK2)
SLC35E2A	9906	Homo sapiens	solute carrier family 35 member E2A (pseudogene)(SLC35E2A)
FBN1	2200	Homo sapiens	fibrillin 1(FBN1)
RERE	473	Homo sapiens	arginine-glutamic acid dipeptide repeats(RERE)
PHTF2	57157	Homo sapiens	putative homeodomain transcription factor 2(PHTF2)
HP1BP3	50809	Homo sapiens	heterochromatin protein 1 binding protein 3(HP1BP3)
NGLY1	55768	Homo sapiens	N-glycanase 1(NGLY1)
ADAR	103	Homo sapiens	adenosine deaminase RNA specific(ADAR)
LDB3	11155	Homo sapiens	LIM domain binding 3(LDB3)
LDB2	9079	Homo sapiens	LIM domain binding 2(LDB2)
TENT4A	11044	Homo sapiens	terminal nucleotidyltransferase 4A(TENT4A)
TENT4B	64282	Homo sapiens	terminal nucleotidyltransferase 4B(TENT4B)
PHTF1	10745	Homo sapiens	putative homeodomain transcription factor 1(PHTF1)
CABIN1	23523	Homo sapiens	calcineurin binding protein 1(CABIN1)
GHR	2690	Homo sapiens	growth hormone receptor(GHR)
MAN1A2	10905	Homo sapiens	mannosidase alpha class 1A member 2(MAN1A2)
RB1CC1	9821	Homo sapiens	RB1 inducible coiled-coil 1(RB1CC1)
GDAP1L1	78997	Homo sapiens	ganglioside induced differentiation associated protein 1 like 1(GDAP1L1)
MYO18A	399687	Homo sapiens	myosin XVIIIA(MYO18A)
MAN1A1	4121	Homo sapiens	mannosidase alpha class 1A member 1(MAN1A1)
ARFGEF3	57221	Homo sapiens	ARFGEF family member 3(ARFGEF3)
PDPK1	5170	Homo sapiens	3-phosphoinositide dependent protein kinase 1(PDPK1)
DCAKD	79877	Homo sapiens	dephospho-CoA kinase domain containing(DCAKD)
NAV1	89796	Homo sapiens	neuron navigator 1(NAV1)
NAV2	89797	Homo sapiens	neuron navigator 2(NAV2)
SPIDR	23514	Homo sapiens	scaffold protein involved in DNA repair(SPIDR)
EPN2	22905	Homo sapiens	epsin 2(EPN2)
TAPBP	6892	Homo sapiens	TAP binding protein(TAPBP)
ALS2	57679	Homo sapiens	alsin Rho guanine nucleotide exchange factor ALS2(ALS2)
SETBP1	26040	Homo sapiens	SET binding protein 1(SETBP1)
NAV3	89795	Homo sapiens	neuron navigator 3(NAV3)
FAM153B	202134	Homo sapiens	family with sequence similarity 153 member B(FAM153B)
CRY2	1408	Homo sapiens	cryptochrome circadian regulator 2(CRY2)
ATP6V1B2	526	Homo sapiens	ATPase H+ transporting V1 subunit B2(ATP6V1B2)
LDAH	60526	Homo sapiens	lipid droplet associated hydrolase(LDAH)
NAT8L	339983	Homo sapiens	N-acetyltransferase 8 like(NAT8L)
CUEDC1	404093	Homo sapiens	CUE domain containing 1(CUEDC1)
OTUB1	55611	Homo sapiens	OTU deubiquitinase, ubiquitin aldehyde binding 1(OTUB1)
AGPAT5	55326	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)
DNAH7	56171	Homo sapiens	dynein axonemal heavy chain 7(DNAH7)
ANKS3	124401	Homo sapiens	ankyrin repeat and sterile alpha motif domain containing 3(ANKS3)
DNAH6	1768	Homo sapiens	dynein axonemal heavy chain 6(DNAH6)
RAP1GDS1	5910	Homo sapiens	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)
ASAP1	50807	Homo sapiens	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1(ASAP1)
ASAP2	8853	Homo sapiens	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2(ASAP2)
ADD3	120	Homo sapiens	adducin 3(ADD3)
ADD1	118	Homo sapiens	adducin 1(ADD1)
